date,A,B,C,D,E,F,G,H,J,K,L,M,N,O,P,Q,R,S,T,Power
1/20/20 00:00,1634.4018,1.1502,442.5516,-2.1546,139.482,10.4166,8.9748,1.4418,5.5404,8.8938,2074.6044,1.6524,2.592,363.366,0,0,0,0,0,18.549
1/21/20 00:00,1634.1912,1.215,442.6164,-2.3328,138.024,10.449,8.8938,1.539,5.4918,8.829,2074.1346,0.6966,1.3608,335.016,0,0,0,0,0,18.6462
1/22/20 00:00,1634.0292,1.1826,442.6002,-2.3976,137.862,10.4328,8.8776,1.5552,5.4918,8.7966,2074.0698,0.9882,2.3976,319.302,0,0,0,0,0,18.792
1/23/20 00:00,1633.9968,0.5994,442.0332,-2.6568,139.806,10.1574,8.7642,1.3932,5.427,8.6994,2076.7914,1.7982,2.3976,334.368,0,0,0,0,0,18.954
1/24/20 00:00,1633.9482,0.5346,441.9684,-2.43,141.588,10.1412,8.8614,1.2798,5.4756,8.7804,2076.9696,0.7938,2.268,339.552,0,0,0,0,0,19.1322
1/25/20 00:00,1633.6728,0.5508,442.0008,-2.4948,141.102,10.1412,8.829,1.3122,5.4594,8.7642,2076.5808,1.0206,2.1384,304.56,0,0,0,0,0,19.2942
1/26/20 00:00,1633.7538,0.3078,441.7578,-2.673,141.588,10.0278,8.7642,1.2636,5.4108,8.6994,2077.8606,1.4256,2.0736,316.548,0,0,0,0,0,19.44
1/27/20 00:00,1633.608,0.0486,441.4986,-2.754,142.722,9.9144,8.7318,1.1826,5.3946,8.667,2078.946,1.701,2.6568,296.622,0,0,0,0,0,19.5534
1/28/20 00:00,1633.4298,0.1782,441.6606,-2.6082,142.722,9.9792,8.7966,1.1826,5.427,8.7156,2078.0226,1.458,2.7864,323.838,0,0,0,0,0,19.6344
1/29/20 00:00,1633.4136,0.3564,441.8226,-2.6244,141.588,10.044,8.7804,1.2636,5.427,8.7156,2077.2288,1.0044,1.6848,200.718,0,0,0,0,0,19.6668
1/30/20 00:00,1633.3488,-0.0648,441.4176,-2.997,141.75,9.8658,8.6346,1.2312,5.3298,8.5698,2079.1404,0.9882,1.8144,285.93,0,0,0,0,0,19.6668
1/31/20 00:00,1633.4784,-0.3402,441.126,-2.8836,144.342,9.7362,8.6832,1.0692,5.3622,8.6022,2080.5984,0.81,1.62,249.48,0,0,0,0,0,19.6506
2/1/20 00:00,1633.3488,-0.162,441.3204,-2.8188,143.532,9.8172,8.6994,1.1178,5.3784,8.6346,2079.5454,0.7776,1.5876,170.91,0,0,0,0,0,19.5858
2/2/20 00:00,1633.527,-0.2592,441.207,-3.0456,142.722,9.7848,8.6184,1.1664,5.3298,8.5374,2080.323,0.9234,1.7496,106.2396,0,0,0,0,0,19.5372
2/3/20 00:00,1633.446,-0.3564,441.126,-2.9484,144.018,9.7362,8.6508,1.0854,5.346,8.586,2080.6308,0.4536,1.0368,576.882,0,0,0,0,0,19.4562
2/4/20 00:00,1633.608,-0.0972,441.369,-2.8674,142.884,9.8496,8.6832,1.1664,5.3784,8.6184,2079.6102,1.3122,3.726,232.794,0,0,0,0,0,19.3266
2/5/20 00:00,1633.5918,-0.2754,441.1908,-2.9322,143.532,9.7686,8.667,1.1178,5.346,8.586,2080.4364,0.6804,2.2356,309.906,0,0,0,0,0,19.1646
2/6/20 00:00,1633.7052,-0.081,441.369,-2.7702,143.37,9.8658,8.7318,1.134,5.3946,8.6508,2079.6426,0.7452,1.8468,75.3462,0,0,0,0,0,19.0188
2/7/20 00:00,1633.203,-0.3402,441.1422,-2.9808,143.694,9.7362,8.6346,1.1016,5.346,8.5698,2080.2906,0.5184,1.2312,323.352,0,0,0,0,0,18.9054
2/8/20 00:00,1633.0734,-1.2474,440.2674,-3.7422,144.504,9.3636,8.343,1.0044,5.1516,8.2782,2084.4702,2.592,3.888,347.004,0,0,0,0,0,18.8082
2/9/20 00:00,1633.1544,-1.5066,440.0082,-3.6612,146.772,9.2502,8.3754,0.8748,5.184,8.3106,2085.7824,1.944,3.1104,360.45,0,0,0,0,0,18.6948
2/10/20 00:00,1633.0248,-1.3932,440.1216,-3.5154,147.096,9.2826,8.4402,0.8586,5.2164,8.3754,2085.102,1.7496,2.3652,356.886,0,0,0,0,0,18.549
2/11/20 00:00,1633.2192,-1.4094,440.0892,-3.4992,147.258,9.2826,8.4402,0.8424,5.2164,8.3754,2085.3936,1.2798,2.2032,341.982,0,0,0,0,0,18.3708
2/12/20 00:00,1632.96,-1.6524,439.8624,-3.7422,147.258,9.1854,8.343,0.8424,5.1678,8.2782,2086.2846,2.9646,4.2768,353.322,0,0,0,0,0,18.1602
2/13/20 00:00,1632.5712,-1.863,439.6842,-3.8394,148.068,9.0882,8.3106,0.7776,5.1354,8.2458,2086.8192,1.8792,3.8232,384.426,0,0,0,0,0,17.9496
2/14/20 00:00,1632.7008,-1.7496,439.7814,-3.645,148.554,9.1368,8.3754,0.7614,5.184,8.3106,2086.398,0.7614,1.6848,46.656,0,0,0,0,0,17.7228
2/15/20 00:00,1632.717,-2.5758,438.9552,-4.7466,146.61,8.7966,7.9704,0.8424,4.9248,7.9056,2090.5452,1.3122,2.3004,268.434,0,0,0,0,0,17.496
2/16/20 00:00,1632.9924,-2.9484,438.5664,-4.7304,149.202,8.6508,7.9704,0.6804,4.9248,7.9056,2092.6188,1.1826,3.6288,234.576,0,0,0,0,0,17.2692
2/17/20 00:00,1632.8304,-2.9808,438.5502,-4.698,149.688,8.6346,7.9866,0.6642,4.941,7.9218,2092.6188,1.701,2.7216,330.318,0,0,0,0,0,17.0424
2/18/20 00:00,1632.3606,-2.9808,438.5826,-4.5036,150.984,8.6508,8.0514,0.5832,4.9896,8.0028,2091.9384,2.4786,3.564,367.578,0,0,0,0,0,16.8156
2/19/20 00:00,1632.3606,-3.4668,438.1128,-5.2002,149.526,8.4564,7.8084,0.648,4.8276,7.7436,2094.3522,1.9116,3.3048,302.292,0,0,0,0,0,16.605
2/20/20 00:00,1632.798,-3.7908,437.7402,-5.2812,151.308,8.3268,7.776,0.5508,4.8114,7.7112,2096.5392,0.6642,2.592,139.806,0,0,0,0,0,16.3944
2/21/20 00:00,1632.9438,-3.564,437.967,-4.941,151.956,8.424,7.8894,0.5184,4.8762,7.8408,2095.5348,1.7658,2.7216,250.29,0,0,0,0,0,16.1838
2/22/20 00:00,1632.717,-3.726,437.805,-5.1516,151.794,8.343,7.8246,0.5184,4.8438,7.7598,2096.118,1.7982,2.7216,323.514,0,0,0,0,0,15.9732
2/23/20 00:00,1632.6522,-3.888,437.6592,-5.2002,152.442,8.2944,7.8084,0.486,4.8276,7.7436,2096.7498,0.7614,1.5552,351.378,0,0,0,0,0,15.795
2/24/20 00:00,1632.6522,-4.0662,437.481,-5.4108,152.28,8.2296,7.7274,0.486,4.779,7.6788,2097.657,1.377,3.4344,288.198,0,0,0,0,0,15.633
2/25/20 00:00,1632.8142,-4.5846,436.9464,-5.8968,152.442,8.0352,7.5492,0.4698,4.6656,7.5006,2100.4272,2.2032,3.4344,322.542,0,0,0,0,0,15.4872
2/26/20 00:00,1633.0572,-4.5198,436.995,-5.7186,153.252,8.0514,7.614,0.4374,4.7142,7.5492,2100.4272,1.62,3.0456,249.804,0,0,0,0,0,15.3576
2/27/20 00:00,1633.3164,-4.4388,437.0598,-5.589,153.576,8.0838,7.6626,0.4212,4.7304,7.5978,2100.3462,1.0044,2.0088,231.66,0,0,0,0,0,15.228
2/28/20 00:00,1633.2678,-4.2606,437.238,-5.3622,153.9,8.1486,7.7436,0.405,4.779,7.6788,2099.3418,0.7452,1.4904,323.676,0,0,0,0,0,15.1146
2/29/20 00:00,1633.3002,-4.05,437.4324,-5.1678,153.9,8.2296,7.8084,0.405,4.8276,7.7598,2098.4022,0.6642,1.4256,342.306,0,0,0,0,0,14.985
3/1/20 00:00,1633.2354,-3.6612,437.8374,-4.7628,153.9,8.3754,7.9542,0.4212,4.9248,7.8894,2096.3448,1.539,2.8512,353.484,0,0,0,0,0,14.8554
3/2/20 00:00,1633.2192,-3.7422,437.7726,-5.0058,152.766,8.343,7.8732,0.4698,4.86,7.8084,2096.7336,2.0088,3.3696,339.876,0,0,0,0,0,14.742
3/3/20 00:00,1633.2354,-4.0986,437.4,-5.4918,151.956,8.2134,7.695,0.5022,4.7628,7.6464,2098.5804,1.62,2.7216,304.722,0,0,0,0,0,14.661
3/4/20 00:00,1633.1706,-4.3416,437.1732,-5.6538,152.442,8.1162,7.6464,0.486,4.7304,7.5816,2099.682,1.1664,2.6568,279.936,0,0,0,0,0,14.5962
3/5/20 00:00,1633.365,-4.4226,437.0598,-5.7186,152.604,8.0838,7.614,0.4698,4.7142,7.5492,2100.3624,0.7614,1.9764,264.87,0,0,0,0,0,14.5638
3/6/20 00:00,1633.2354,-4.5198,436.9788,-5.7834,152.766,8.0514,7.5978,0.4536,4.698,7.533,2100.654,1.4418,2.4948,218.862,0,0,0,0,0,14.5152
3/7/20 00:00,1633.2192,-4.6008,436.8978,-5.832,153.09,8.019,7.5816,0.4374,4.6818,7.5168,2101.059,2.2194,3.6612,212.22,0,0,0,2.4948,4.0662,14.4828
3/8/20 00:00,1633.1544,-4.6818,436.8168,-5.913,153.09,7.9866,7.5492,0.4374,4.6656,7.4844,2101.3668,1.62,3.24,272.646,0,0,1.9602,6.561,10.3194,14.4342
3/9/20 00:00,1633.1544,-4.8924,436.6062,-6.1398,152.928,7.9218,7.4682,0.4374,4.617,7.4034,2102.4198,0.5832,1.1664,307.476,0,0,3.5802,15.957,23.7654,14.4018
